ID,nfaNumber,title,status,createdAt,createdBy,modifiedAt,modifiedBy
11111111-1111-1111-1111-111111111111,NFA-0001,Laptop Procurement,DRAFT,2026-07-28T09:00:00Z,admin,2026-07-28T09:00:00Z,admin
22222222-2222-2222-2222-222222222222,NFA-0002,Desktop Procurement,SUBMITTED,2026-07-28T09:15:00Z,admin,2026-07-28T09:20:00Z,admin
33333333-3333-3333-3333-333333333333,NFA-0003,Server Procurement,APPROVED,2026-07-28T09:30:00Z,admin,2026-07-28T09:45:00Z,manager
44444444-4444-4444-4444-444444444444,NFA-0004,Network Switch Procurement,DRAFT,2026-07-28T10:00:00Z,user1,2026-07-28T10:05:00Z,user1
55555555-5555-5555-5555-555555555555,NFA-0005,Printer Procurement,APPROVED,2026-07-28T10:15:00Z,user2,2026-07-28T10:30:00Z,manager
66666666-6666-6666-6666-666666666666,NFA-0006,Office Furniture Procurement,SUBMITTED,2026-07-28T10:45:00Z,user3,2026-07-28T11:00:00Z,user3
77777777-7777-7777-7777-777777777777,NFA-0007,Software License Procurement,DRAFT,2026-07-28T11:15:00Z,user4,2026-07-28T11:20:00Z,user4
88888888-8888-8888-8888-888888888888,NFA-0008,Cloud Infrastructure Procurement,APPROVED,2026-07-28T11:30:00Z,admin,2026-07-28T11:45:00Z,director
99999999-9999-9999-9999-999999999999,NFA-0009,Security Equipment Procurement,SUBMITTED,2026-07-28T12:00:00Z,user5,2026-07-28T12:10:00Z,user5
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,NFA-0010,Data Center Upgrade,DRAFT,2026-07-28T12:30:00Z,admin,2026-07-28T12:35:00Z,admin
