ID,nfa_ID,procurementName,aribaSourcingEventRef,procurementObjectives,procurementBackground,procurementRoute,procurementStrategy,expenseCategory,createdAt,createdBy,modifiedAt,modifiedBy
b1111111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111111,Laptop Procurement,ARB10001,Procure laptops for new employees,Annual IT hardware refresh,Strategic Sourcing,Competitive Bidding,IT,2026-07-28T09:00:00Z,admin,2026-07-28T09:00:00Z,admin
b2222222-2222-2222-2222-222222222222,22222222-2222-2222-2222-222222222222,Desktop Procurement,ARB10002,Replace old desktop systems,Desktop hardware replacement,RFQ,Lowest Cost,IT,2026-07-28T09:15:00Z,admin,2026-07-28T09:20:00Z,admin
b3333333-3333-3333-3333-333333333333,33333333-3333-3333-3333-333333333333,Server Procurement,ARB10003,Purchase production servers,Expand data center capacity,Strategic Sourcing,Technical Evaluation,Infrastructure,2026-07-28T09:30:00Z,admin,2026-07-28T09:45:00Z,manager
b4444444-4444-4444-4444-444444444444,44444444-4444-4444-4444-444444444444,Network Switch Procurement,ARB10004,Upgrade network switches,Improve network performance,Tender,Best Value,Networking,2026-07-28T10:00:00Z,user1,2026-07-28T10:05:00Z,user1
b5555555-5555-5555-5555-555555555555,55555555-5555-5555-5555-555555555555,Printer Procurement,ARB10005,Purchase office printers,Replace aging printers,RFQ,Competitive Bidding,Administration,2026-07-28T10:15:00Z,user2,2026-07-28T10:30:00Z,manager
b6666666-6666-6666-6666-666666666666,66666666-6666-6666-6666-666666666666,Office Furniture Procurement,ARB10006,Purchase office furniture,Office expansion project,Direct Procurement,Preferred Supplier,Facilities,2026-07-28T10:45:00Z,user3,2026-07-28T11:00:00Z,user3
b7777777-7777-7777-7777-777777777777,77777777-7777-7777-7777-777777777777,Software License Procurement,ARB10007,Renew software licenses,Annual software renewal,Strategic Sourcing,Vendor Negotiation,Software,2026-07-28T11:15:00Z,user4,2026-07-28T11:20:00Z,user4
b8888888-8888-8888-8888-888888888888,88888888-8888-8888-8888-888888888888,Cloud Infrastructure Procurement,ARB10008,Purchase cloud infrastructure,Migration to cloud platform,Strategic Sourcing,Cloud Evaluation,Cloud,2026-07-28T11:30:00Z,admin,2026-07-28T11:45:00Z,director
b9999999-9999-9999-9999-999999999999,99999999-9999-9999-9999-999999999999,Security Equipment Procurement,ARB10009,Purchase CCTV and access control,Improve office security,Tender,Technical Evaluation,Security,2026-07-28T12:00:00Z,user5,2026-07-28T12:10:00Z,user5
baaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Data Center Upgrade,ARB10010,Upgrade data center infrastructure,Increase reliability,Strategic Sourcing,Hybrid Evaluation,Infrastructure,2026-07-28T12:30:00Z,admin,2026-07-28T12:35:00Z,admin
