ID,nfa_ID,client,purchasingDocument,item,documentItem,deletionIndicator,origin,shortText,material,externalMaterial,companyCode,plant,storageLocation,trackingNumber,materialGroup,infoRecord,supplierMaterialNumber,targetQuantity,purchaseOrderQuantity,orderUnit,createdAt,createdBy,modifiedAt,modifiedBy
i1111111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111111,100,4500000001,10,10,false,Manual,Dell Latitude Laptop,MAT1001,EXT1001,COMP1000,PL01,SL01,TRK1001,LAPTOP,INF1001,DELL-LAT-001,100,100,EA,2026-07-28T09:00:00Z,admin,2026-07-28T09:00:00Z,admin
i2222222-2222-2222-2222-222222222222,22222222-2222-2222-2222-222222222222,100,4500000002,10,10,false,Manual,HP Desktop Computer,MAT1002,EXT1002,COMP1000,PL01,SL01,TRK1002,DESKTOP,INF1002,HP-DESK-001,75,75,EA,2026-07-28T09:15:00Z,admin,2026-07-28T09:20:00Z,admin
i3333333-3333-3333-3333-333333333333,33333333-3333-3333-3333-333333333333,100,4500000003,10,10,false,Manual,Rack Server,MAT1003,EXT1003,COMP2000,PL02,SL02,TRK1003,SERVER,INF1003,HPE-SRV-001,20,20,EA,2026-07-28T09:30:00Z,admin,2026-07-28T09:45:00Z,manager
i4444444-4444-4444-4444-444444444444,44444444-4444-4444-4444-444444444444,100,4500000004,10,10,false,Manual,Cisco Network Switch,MAT1004,EXT1004,COMP2000,PL02,SL02,TRK1004,NETWORK,INF1004,CISCO-SW-001,50,50,EA,2026-07-28T10:00:00Z,user1,2026-07-28T10:05:00Z,user1
i5555555-5555-5555-5555-555555555555,55555555-5555-5555-5555-555555555555,100,4500000005,10,10,false,Manual,Laser Printer,MAT1005,EXT1005,COMP3000,PL03,SL03,TRK1005,PRINTER,INF1005,CANON-PR-001,30,30,EA,2026-07-28T10:15:00Z,user2,2026-07-28T10:30:00Z,manager
i6666666-6666-6666-6666-666666666666,66666666-6666-6666-6666-666666666666,100,4500000006,10,10,false,Manual,Office Chair,MAT1006,EXT1006,COMP3000,PL03,SL03,TRK1006,FURNITURE,INF1006,GODREJ-CH-001,150,150,EA,2026-07-28T10:45:00Z,user3,2026-07-28T11:00:00Z,user3
i7777777-7777-7777-7777-777777777777,77777777-7777-7777-7777-777777777777,100,4500000007,10,10,false,Manual,Microsoft Office License,MAT1007,EXT1007,COMP4000,PL04,SL04,TRK1007,SOFTWARE,INF1007,MS-OFF-001,500,500,EA,2026-07-28T11:15:00Z,user4,2026-07-28T11:20:00Z,user4
i8888888-8888-8888-8888-888888888888,88888888-8888-8888-8888-888888888888,100,4500000008,10,10,false,Manual,Cloud VM Subscription,MAT1008,EXT1008,COMP4000,PL04,SL04,TRK1008,CLOUD,INF1008,AWS-VM-001,100,100,EA,2026-07-28T11:30:00Z,admin,2026-07-28T11:45:00Z,director
i9999999-9999-9999-9999-999999999999,99999999-9999-9999-9999-999999999999,100,4500000009,10,10,false,Manual,CCTV Camera,MAT1009,EXT1009,COMP5000,PL05,SL05,TRK1009,SECURITY,INF1009,HIK-CCTV-001,60,60,EA,2026-07-28T12:00:00Z,user5,2026-07-28T12:10:00Z,user5
iaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,100,4500000010,10,10,false,Manual,Storage Array,MAT1010,EXT1010,COMP5000,PL05,SL05,TRK1010,STORAGE,INF1010,DELL-EMC-001,10,10,EA,2026-07-28T12:30:00Z,admin,2026-07-28T12:35:00Z,admin
