ID,nfa_ID,client,purchasingDocument,companyCode,documentCategory,documentType,control,deletionIndicator,status,itemInterval,lastItem,supplier,language,paymentTerms,paymentInDays1,paymentInDays2,paymentInDays3,createdAt,createdBy,modifiedAt,modifiedBy
h1111111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111111,100,4500000001,COMP1000,F,NB,, ,Released,10,10,VEN1001,EN,PT30,30,0,0,2026-07-28T09:00:00Z,admin,2026-07-28T09:00:00Z,admin
h2222222-2222-2222-2222-222222222222,22222222-2222-2222-2222-222222222222,100,4500000002,COMP1000,F,NB,, ,Released,10,10,VEN1002,EN,PT45,45,0,0,2026-07-28T09:15:00Z,admin,2026-07-28T09:20:00Z,admin
h3333333-3333-3333-3333-333333333333,33333333-3333-3333-3333-333333333333,100,4500000003,COMP2000,F,NB,, ,Approved,10,10,VEN1003,EN,PT60,60,0,0,2026-07-28T09:30:00Z,admin,2026-07-28T09:45:00Z,manager
h4444444-4444-4444-4444-444444444444,44444444-4444-4444-4444-444444444444,100,4500000004,COMP2000,F,NB,, ,Released,10,10,VEN1004,EN,PT30,30,0,0,2026-07-28T10:00:00Z,user1,2026-07-28T10:05:00Z,user1
h5555555-5555-5555-5555-555555555555,55555555-5555-5555-5555-555555555555,100,4500000005,COMP3000,F,NB,, ,Approved,10,10,VEN1005,EN,PT30,30,0,0,2026-07-28T10:15:00Z,user2,2026-07-28T10:30:00Z,manager
h6666666-6666-6666-6666-666666666666,66666666-6666-6666-6666-666666666666,100,4500000006,COMP3000,F,NB,, ,Released,10,10,VEN1006,EN,PT45,45,0,0,2026-07-28T10:45:00Z,user3,2026-07-28T11:00:00Z,user3
h7777777-7777-7777-7777-777777777777,77777777-7777-7777-7777-777777777777,100,4500000007,COMP4000,F,NB,, ,Approved,10,10,VEN1007,EN,PT30,30,0,0,2026-07-28T11:15:00Z,user4,2026-07-28T11:20:00Z,user4
h8888888-8888-8888-8888-888888888888,88888888-8888-8888-8888-888888888888,100,4500000008,COMP4000,F,NB,, ,Released,10,10,VEN1008,EN,PT30,30,0,0,2026-07-28T11:30:00Z,admin,2026-07-28T11:45:00Z,director
h9999999-9999-9999-9999-999999999999,99999999-9999-9999-9999-999999999999,100,4500000009,COMP5000,F,NB,, ,Approved,10,10,VEN1009,EN,PT30,30,0,0,2026-07-28T12:00:00Z,user5,2026-07-28T12:10:00Z,user5
haaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,100,4500000010,COMP5000,F,NB,, ,Released,10,10,VEN1010,EN,PT60,60,0,0,2026-07-28T12:30:00Z,admin,2026-07-28T12:35:00Z,admin
