ID,nfa_ID,materialCode,materialDescription,quantityProcured,awardedUnitPrice,lastPONumber,lastPODate,lastPOVendor,lastPOValue,lastPOUnitPrice,variancePercentVsLastPO,last6MonthsPurchaseQty,last6MonthsPurchaseValue,avgUnitPrice6Months,variancePercentVsAvg6Months,consumption6Months,consumption12Months,avgMonthlyConsumptionRate,currentStock,stockCoverMonths,priceJustification,createdAt,createdBy,modifiedAt,modifiedBy
c1111111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111111,MAT1001,Dell Latitude Laptop,100,850,PO10001,2026-06-15,Dell Technologies,90000,900,-5.56,-,510000,850,0.00,80,160,13.33,40,3.00,Negotiated annual contract pricing,2026-07-28T09:00:00Z,admin,2026-07-28T09:00:00Z,admin
c2222222-2222-2222-2222-222222222222,22222222-2222-2222-2222-222222222222,MAT1002,HP Desktop Computer,75,720,PO10002,2026-06-10,HP India,56250,750,-4.00,70,50400,720,0.00,60,120,10.00,25,2.50,Bulk purchase discount,2026-07-28T09:15:00Z,admin,2026-07-28T09:20:00Z,admin
c3333333-3333-3333-3333-333333333333,33333333-3333-3333-3333-333333333333,MAT1003,Rack Server,20,4800,PO10003,2026-05-28,HPE,100000,5000,-4.00,15,72000,4800,0.00,12,24,2.00,8,4.00,Long-term infrastructure pricing,2026-07-28T09:30:00Z,admin,2026-07-28T09:45:00Z,manager
c4444444-4444-4444-4444-444444444444,44444444-4444-4444-4444-444444444444,MAT1004,Cisco Network Switch,50,1500,PO10004,2026-05-18,Cisco,80000,1600,-6.25,45,67500,1500,0.00,30,60,5.00,20,4.00,Competitive vendor pricing,2026-07-28T10:00:00Z,user1,2026-07-28T10:05:00Z,user1
c5555555-5555-5555-5555-555555555555,55555555-5555-5555-5555-555555555555,MAT1005,Laser Printer,30,400,PO10005,2026-05-05,Canon,12600,420,-4.76,25,10000,400,0.00,18,36,3.00,12,4.00,Preferred supplier agreement,2026-07-28T10:15:00Z,user2,2026-07-28T10:30:00Z,manager
c6666666-6666-6666-6666-666666666666,66666666-6666-6666-6666-666666666666,MAT1006,Office Chair,150,120,PO10006,2026-04-30,Godrej,19500,130,-7.69,120,14400,120,0.00,100,220,18.33,50,2.73,Corporate furniture contract,2026-07-28T10:45:00Z,user3,2026-07-28T11:00:00Z,user3
c7777777-7777-7777-7777-777777777777,77777777-7777-7777-7777-777777777777,MAT1007,Microsoft Office License,500,180,PO10007,2026-04-20,Microsoft,95000,190,-5.26,450,81000,180,0.00,400,800,66.67,150,2.25,Enterprise agreement pricing,2026-07-28T11:15:00Z,user4,2026-07-28T11:20:00Z,user4
c8888888-8888-8888-8888-888888888888,88888888-8888-8888-8888-888888888888,MAT1008,Cloud VM Subscription,100,250,PO10008,2026-04-10,AWS,26000,260,-3.85,90,22500,250,0.00,80,170,14.17,40,2.82,Reserved instance pricing,2026-07-28T11:30:00Z,admin,2026-07-28T11:45:00Z,director
c9999999-9999-9999-9999-999999999999,99999999-9999-9999-9999-999999999999,MAT1009,CCTV Camera,60,220,PO10009,2026-03-25,Hikvision,13800,230,-4.35,50,11000,220,0.00,40,80,6.67,18,2.70,Security project pricing,2026-07-28T12:00:00Z,user5,2026-07-28T12:10:00Z,user5
caaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,MAT1010,Storage Array,10,9500,PO10010,2026-03-15,Dell EMC,98000,9800,-3.06,8,76000,9500,0.00,6,12,1.00,4,4.00,Data center modernization contract,2026-07-28T12:30:00Z,admin,2026-07-28T12:35:00Z,admin
