ID,nfa_ID,purchasingGroup,companyCode,otherConditions,supportingDocuments,createdAt,createdBy,modifiedAt,modifiedBy
g1111111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111111,PG01,COMP1000,Procurement subject to final management approval.,Technical_Specification.pdf;Commercial_Evaluation.pdf,2026-07-28T09:00:00Z,admin,2026-07-28T09:00:00Z,admin
g2222222-2222-2222-2222-222222222222,22222222-2222-2222-2222-222222222222,PG02,COMP1000,Delivery schedule to be confirmed before PO release.,Vendor_Quotation.pdf;Evaluation_Report.pdf,2026-07-28T09:15:00Z,admin,2026-07-28T09:20:00Z,admin
g3333333-3333-3333-3333-333333333333,33333333-3333-3333-3333-333333333333,PG03,COMP2000,Installation and commissioning must be completed within agreed timeline.,Server_Technical_Report.pdf;Risk_Assessment.pdf,2026-07-28T09:30:00Z,admin,2026-07-28T09:45:00Z,manager
g4444444-4444-4444-4444-444444444444,44444444-4444-4444-4444-444444444444,PG04,COMP2000,Vendor must provide complete network documentation.,Network_Design.pdf;Commercial_Comparison.pdf,2026-07-28T10:00:00Z,user1,2026-07-28T10:05:00Z,user1
g5555555-5555-5555-5555-555555555555,55555555-5555-5555-5555-555555555555,PG05,COMP3000,Warranty support to be provided through authorized service center.,Printer_Specification.pdf;Vendor_Quote.pdf,2026-07-28T10:15:00Z,user2,2026-07-28T10:30:00Z,manager
g6666666-6666-6666-6666-666666666666,66666666-6666-6666-6666-666666666666,PG06,COMP3000,Furniture installation must comply with office layout standards.,Furniture_Layout.pdf;Approval_Note.pdf,2026-07-28T10:45:00Z,user3,2026-07-28T11:00:00Z,user3
g7777777-7777-7777-7777-777777777777,77777777-7777-7777-7777-777777777777,PG07,COMP4000,Software licenses must include latest security updates.,License_Agreement.pdf;Compliance_Report.pdf,2026-07-28T11:15:00Z,user4,2026-07-28T11:20:00Z,user4
g8888888-8888-8888-8888-888888888888,88888888-8888-8888-8888-888888888888,PG08,COMP4000,Cloud deployment to follow enterprise security policy.,Cloud_Architecture.pdf;Migration_Plan.pdf,2026-07-28T11:30:00Z,admin,2026-07-28T11:45:00Z,director
g9999999-9999-9999-9999-999999999999,99999999-9999-9999-9999-999999999999,PG09,COMP5000,Security devices to be integrated with existing monitoring system.,Security_Assessment.pdf;Vendor_Proposal.pdf,2026-07-28T12:00:00Z,user5,2026-07-28T12:10:00Z,user5
gaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,PG10,COMP5000,Implementation to be completed during scheduled maintenance window.,DataCenter_Upgrade.pdf;Project_Plan.pdf,2026-07-28T12:30:00Z,admin,2026-07-28T12:35:00Z,admin
